,date,confirmed,probable
0,2018-08-05,16,27
1,2018-08-12,14,0
2,2018-08-19,39,0
3,2018-08-26,14,1
4,2018-09-02,8,2
5,2018-09-09,10,1
6,2018-09-16,11,0
7,2018-09-23,8,0
8,2018-09-30,10,1
9,2018-10-07,17,3
10,2018-10-14,33,0
11,2018-10-21,24,0
12,2018-10-28,36,0
13,2018-11-04,26,0
14,2018-11-11,31,14
15,2018-11-18,33,9
16,2018-11-25,46,0
17,2018-12-02,24,1
18,2018-12-09,46,0
19,2018-12-16,38,0
20,2018-12-23,40,0
21,2018-12-30,19,0
22,2019-01-06,26,0
23,2019-01-13,23,1
24,2019-01-20,40,0
25,2019-01-27,43,5
26,2019-02-03,49,0
27,2019-02-10,24,7
28,2019-02-17,20,4
29,2019-02-24,31,0
30,2019-03-03,25,0
31,2019-03-10,26,1
32,2019-03-17,37,0
33,2019-03-24,56,0
34,2019-03-31,72,1
35,2019-04-07,65,0
