,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,3.0,5.0,7.0,13.0
1,2018-09-16,2018-09-23,1.0,3.0,5.0,8.0,15.0
2,2018-09-16,2018-09-30,1.0,3.0,5.0,8.0,15.0
0,2018-10-07,2018-10-07,15.0,29.0,41.0,57.0,110.0
1,2018-10-07,2018-10-14,30.0,60.0,92.0,143.0,382.0
2,2018-10-07,2018-10-21,30.0,60.0,92.0,143.0,382.0
0,2018-10-28,2018-10-28,12.0,21.0,26.0,33.0,49.0
1,2018-10-28,2018-11-04,23.0,36.0,44.0,55.0,84.0
2,2018-10-28,2018-11-11,23.0,36.0,44.0,55.0,84.0
0,2018-11-25,2018-11-25,33.0,43.0,50.0,57.0,71.0
1,2018-11-25,2018-12-02,32.0,44.0,51.0,59.0,75.0
2,2018-11-25,2018-12-09,32.0,44.0,51.0,59.0,75.0
0,2018-12-16,2018-12-16,23.0,32.0,37.0,42.0,53.0
1,2018-12-16,2018-12-23,15.0,22.0,27.0,32.0,43.0
2,2018-12-16,2018-12-30,15.0,22.0,27.0,32.0,43.0
0,2019-01-06,2019-01-06,14.0,21.0,26.0,30.0,40.0
1,2019-01-06,2019-01-13,9.0,15.0,19.0,24.0,35.0
2,2019-01-06,2019-01-20,9.0,15.0,19.0,24.0,35.0
