,epicurve,date,p2.5,p25,p50,p75,p97.5
0,2018-09-16,2018-09-16,1.0,4.0,6.0,8.0,13.0
1,2018-09-16,2018-09-23,1.0,4.0,5.0,7.0,13.0
2,2018-09-16,2018-09-30,1.0,4.0,5.0,7.0,13.0
0,2018-10-07,2018-10-07,9.0,15.0,19.0,24.0,34.0
1,2018-10-07,2018-10-14,11.0,19.0,24.0,29.0,43.0
2,2018-10-07,2018-10-21,11.0,19.0,24.0,29.0,43.0
0,2018-10-28,2018-10-28,16.0,24.0,28.0,34.0,45.0
1,2018-10-28,2018-11-04,19.0,27.0,33.0,39.0,54.0
2,2018-10-28,2018-11-11,19.0,27.0,33.0,39.0,54.0
0,2018-11-25,2018-11-25,31.0,42.0,48.0,54.0,68.0
1,2018-11-25,2018-12-02,35.0,47.0,55.0,63.0,80.0
2,2018-11-25,2018-12-09,35.0,47.0,55.0,63.0,80.0
0,2018-12-16,2018-12-16,22.0,30.0,35.0,40.0,50.0
1,2018-12-16,2018-12-23,22.0,31.0,36.0,42.0,54.0
2,2018-12-16,2018-12-30,22.0,31.0,36.0,42.0,54.0
0,2019-01-06,2019-01-06,12.0,19.0,23.0,27.0,36.0
1,2019-01-06,2019-01-13,10.0,17.0,21.0,25.0,35.0
2,2019-01-06,2019-01-20,10.0,17.0,21.0,25.0,35.0
