,median,p2.5,p97.5,epicurve,loglk,AIC,switch_t,switch
delaymean,26.061356205894068,-45.50308527046898,95.52157526397765,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
k__0,0.33600208130917597,0.011731582236779402,0.6593115430619106,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
k__1,1.7179543876895464,1.106838195925842,2.3195760720634784,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
delaysd__0,107.80487121118111,-948.1362775934454,2.8820129189562122e+23,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
delaysd__1,15.704219108575387,-28.694210299781425,62.250007994484314,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
delayCV__0,4.291975685742242,1.568055725082877,1.183819260677417e+25,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
delayCV__1,0.5997235472033609,0.45759558073066836,0.9047372368166047,2018-09-09,-92.97490982109663,193.94981964219326,112,2018-08-20
delaymean,9.274281493530367,6.637030873490485,11.883603034981547,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
k__0,0.9249975736478175,-0.07017288817638073,1.9046467247952066,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
k__1,1.9547541095680416,1.4223504676494063,2.4830733362128026,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
delaysd__0,10.0755661126556,4.599893596941913,,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
delaysd__1,4.951408027799146,3.362963891059402,7.2690728424080415,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
delayCV__0,1.0820476691941834,0.5462474515424901,,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
delayCV__1,0.533606328344038,0.43051762894876194,0.7131786145130485,2018-09-16,-137.62803169876975,283.2560633975395,119,2018-08-27
delaymean,11.638607740205916,8.111594164337264,15.238884512832321,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
k__0,0.327350083501474,0.040284738582997304,0.6233518314193536,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
k__1,1.6772264963958525,1.2672052724430598,2.086247954824476,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
delaysd__0,52.32081005624825,18.098082461681848,101919907.668219,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
delaysd__1,7.138114038181382,4.777165807384214,10.412213699453382,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
delayCV__0,4.516727215970231,1.677265385781448,9964630.122086309,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
delayCV__1,0.6129577245225502,0.503250091990655,0.7946480593952084,2018-09-23,-195.82293783654123,399.64587567308246,112,2018-08-20
delaymean,8.255377336581152,6.682578773262055,9.882407670213974,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
k__0,2.043898315323065,1.3106213428524993,2.7667300681737736,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
k__1,1.7895118192986632,1.2165827102367577,2.3746843655464023,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
delaysd__0,4.239279166574939,2.984996255809079,6.592735101562753,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
delaysd__1,4.783130259529217,3.439976278327147,7.0995102149213105,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
delayCV__0,0.5126125653470319,0.3907827536011501,0.7698035943207528,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
delayCV__1,0.5779236837462809,0.4480715579129402,0.8260096126442422,2018-09-30,-250.76986927097312,509.53973854194624,133,2018-09-10
delaymean,10.152770262378526,9.029276405595823,11.320134992847464,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
k__0,1.6159076770457639,1.2914313240103898,1.9426627665871805,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
k__1,4.6595535342877765,3.3962671547334935,5.971208019151475,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
delaysd__0,6.443102981382713,5.2502783937531365,8.1424963442432,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
delaysd__1,2.481852403076397,1.9237607641869872,3.367996477320157,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
delayCV__0,0.6341426024503537,0.5365983854733276,0.7805664916898185,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
delayCV__1,0.24426541633150495,0.19463430960087402,0.3251405659292432,2018-10-07,-293.48154788699975,594.9630957739995,147,2018-09-24
delaymean,11.540475629748734,10.576849599954592,12.517965352814825,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
k__0,1.4799618093069875,1.199881914505474,1.747483550840723,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
k__1,2.6884831004564402,2.291234280724813,3.094906501861219,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
delaysd__0,7.93867768473487,6.65910153185817,9.78168171651328,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
delaysd__1,4.627033754339132,3.9766445802231463,5.4529962450669345,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
delayCV__0,0.6874437460743159,0.5905127360072132,0.8369809454885366,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
delayCV__1,0.40095067182589794,0.35343618449773057,0.4626641473688369,2018-10-21,-482.26981570892536,972.5396314178507,147,2018-09-24
delaymean,11.01286399625128,10.255285032475467,11.777734330835994,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
k__0,1.5326701043254884,1.2623191977519288,1.8092297592517839,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
k__1,2.9363700530898127,2.560331688966755,3.3044688383755503,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
delaysd__0,7.328854109211302,6.189630857023872,8.925570729148616,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
