modelname,epicurve,AIC,AICc,RMSE_abs,RMSE_rel,avr_score,avr_score__1,avr_score__2,bias,coverage__1,coverage__2,log_score,logp,weight
Lower boundary,2018-09-16,49.8,36.5,7.3,0.8,0.1,0.3,0.0,-0.7,Yes,No,-2.9,-20.9,0.0
Last value of Reff,2018-09-16,25.5,12.2,5.1,0.4,0.3,0.4,0.2,-0.3,Yes,Yes,-1.1,-8.8,0.0
Average over last two,2018-09-16,21.5,8.1,4.1,0.3,0.4,0.5,0.3,-0.3,Yes,Yes,-0.9,-6.7,0.3
Average over last three,2018-09-16,19.8,6.5,3.5,0.2,0.4,0.5,0.4,-0.2,Yes,Yes,-0.8,-5.9,0.7
Linear approximation,2018-09-16,38.0,24.6,6.7,0.6,0.2,0.3,0.1,-0.6,Yes,Yes,-1.5,-15.0,0.0
Quadratic polynomial,2018-09-16,38.0,24.6,6.7,0.6,0.2,0.3,0.1,-0.6,Yes,Yes,-1.8,-15.0,0.0
Cubic polynomial,2018-09-16,35.4,22.0,6.3,0.5,0.2,0.3,0.1,-0.5,Yes,Yes,-1.6,-13.7,0.0
Model averaging,2018-10-07,73.9,60.5,39.9,0.4,0.1,0.2,0.0,0.3,Yes,No,-2.9,-32.9,
Cubic polynomial,2018-10-07,777.8,764.5,310.9,0.9,0.0,0.1,0.0,0.8,Yes,No,-4.5,-384.9,0.0
Linear approximation,2018-10-07,345.7,332.4,152.0,0.7,0.0,0.1,0.0,0.6,Yes,No,-3.8,-168.9,0.0
Quadratic polynomial,2018-10-07,557.2,543.9,230.8,0.8,0.0,0.1,0.0,0.7,Yes,No,-4.1,-274.6,0.0
Average over last two,2018-10-07,91.5,78.2,48.4,0.4,0.0,0.2,0.0,0.3,Yes,No,-3.1,-41.8,0.0
Last value of Reff,2018-10-07,161.0,147.7,78.9,0.5,0.0,0.1,0.0,0.4,Yes,No,-3.4,-76.5,0.0
Lower boundary,2018-10-07,23.0,9.6,6.4,0.1,0.2,0.2,0.2,-0.1,Yes,Yes,-1.8,-7.5,1.0
Average over last three,2018-10-07,63.9,50.6,34.9,0.3,0.1,0.2,0.0,0.3,Yes,No,-2.7,-28.0,0.0
Lower boundary,2018-10-28,54.2,40.8,16.6,0.4,0.0,0.2,0.0,-0.3,Yes,No,-3.9,-23.1,0.0
Last value of Reff,2018-10-28,18.8,5.5,2.5,0.0,0.2,0.3,0.2,0.0,Yes,Yes,-1.5,-5.4,0.6
Average over last two,2018-10-28,22.7,9.3,9.2,0.1,0.2,0.3,0.1,0.1,Yes,Yes,-1.6,-7.3,0.1
Average over last three,2018-10-28,20.2,6.9,5.7,0.1,0.3,0.3,0.2,0.0,Yes,Yes,-1.3,-6.1,0.3
Linear approximation,2018-10-28,33.0,19.7,12.1,0.2,0.1,0.2,0.1,-0.2,Yes,Yes,-2.1,-12.5,0.0
Quadratic polynomial,2018-10-28,54.2,40.8,16.6,0.4,0.1,0.2,0.0,-0.3,Yes,Yes,-2.8,-23.1,0.0
Cubic polynomial,2018-10-28,53.4,40.0,16.3,0.4,0.0,0.2,0.0,-0.3,Yes,No,-3.7,-22.7,0.0
Model averaging,2018-10-28,54.2,40.8,16.6,0.4,0.0,0.2,0.0,-0.3,Yes,No,-3.9,-23.1,
Cubic polynomial,2018-11-25,80.9,67.6,24.9,0.4,0.0,0.4,0.0,-0.3,Yes,No,-inf,-36.5,0.0
Model averaging,2018-11-25,30.5,17.1,14.8,0.2,0.1,0.0,0.2,0.1,No,Yes,-2.7,-11.2,
Quadratic polynomial,2018-11-25,80.9,67.6,24.9,0.4,0.0,0.4,0.0,-0.3,Yes,No,-inf,-36.5,0.0
Average over last two,2018-11-25,36.0,22.6,18.7,0.2,0.0,0.0,0.2,0.2,No,Yes,-3.5,-14.0,0.1
Average over last three,2018-11-25,32.4,19.1,16.3,0.2,0.0,0.0,0.3,0.1,No,Yes,-3.2,-12.2,0.4
Lower boundary,2018-11-25,80.9,67.6,24.9,0.4,0.0,0.4,0.0,-0.3,Yes,No,-inf,-36.5,0.0
Linear approximation,2018-11-25,75.2,61.9,24.3,0.4,0.0,0.3,0.0,-0.3,Yes,No,-3.1,-33.6,0.0
Last value of Reff,2018-11-25,31.6,18.3,15.3,0.2,0.1,0.0,0.1,0.1,No,Yes,-2.7,-11.8,0.6
Lower boundary,2018-12-16,36.8,23.5,13.2,0.3,0.0,0.0,0.0,-0.3,No,No,-3.9,-14.4,0.0
Last value of Reff,2018-12-16,22.3,9.0,7.6,0.1,0.2,0.1,0.3,-0.1,Yes,Yes,-1.5,-7.2,0.3
Average over last two,2018-12-16,21.2,7.9,6.0,0.1,0.3,0.3,0.2,0.1,Yes,Yes,-1.3,-6.6,0.6
Average over last three,2018-12-16,25.3,12.0,9.9,0.2,0.1,0.3,0.1,0.1,Yes,No,-1.9,-8.7,0.1
Linear approximation,2018-12-16,35.7,22.3,12.6,0.3,0.0,0.0,0.0,-0.3,No,No,-3.7,-13.8,0.0
Quadratic polynomial,2018-12-16,36.8,23.5,13.2,0.3,0.0,0.0,0.0,-0.3,No,No,-3.7,-14.4,0.0
Cubic polynomial,2018-12-16,35.7,22.3,12.6,0.3,0.0,0.0,0.0,-0.3,Yes,Yes,-3.3,-13.8,0.0
Model averaging,2018-12-16,19.5,6.2,4.5,0.1,0.2,0.2,0.2,-0.0,Yes,Yes,-1.5,-5.8,
Cubic polynomial,2019-01-06,76.0,62.7,22.0,0.5,0.1,0.3,0.0,-0.3,Yes,Yes,-2.3,-34.0,0.0
Last value of Reff,2019-01-06,38.6,25.2,15.6,0.2,0.1,0.4,0.0,-0.2,Yes,No,-2.4,-15.3,0.1
Linear approximation,2019-01-06,43.9,30.5,17.0,0.3,0.1,0.4,0.0,-0.2,Yes,Yes,-2.2,-17.9,0.0
Average over last three,2019-01-06,36.2,22.9,14.9,0.2,0.1,0.4,0.0,-0.1,Yes,No,-2.9,-14.1,0.4
Average over last two,2019-01-06,36.4,23.1,15.0,0.2,0.1,0.4,0.0,-0.1,Yes,No,-2.6,-14.2,0.4
Lower boundary,2019-01-06,93.2,79.9,23.6,0.5,0.0,0.3,0.0,-0.4,Yes,No,-inf,-42.6,0.0
Quadratic polynomial,2019-01-06,63.8,50.5,20.5,0.4,0.1,0.3,0.0,-0.3,Yes,Yes,-2.3,-27.9,0.0
Model averaging,2019-01-06,36.2,22.9,14.9,0.2,0.1,0.4,0.0,-0.1,Yes,No,-2.6,-14.1,
